state,user_id,course_id
deleted,U652606,C424294
active,U144991,C628944
active,U192467,C732380
active,U387250,C628944
active,U401211,C035962
active,U387250,C300581
active,U443006,C035962
active,U144991,C628944
active,U966556,C696253
deleted,U139455,C921807
active,U819537,C126767
active,U966556,C069987
deleted,U507687,C732380
active,U511908,C069987
active,U917218,C628944
active,U176749,C222487
active,U700672,C424294
active,U833377,C145137
active,U180698,C696253
active,U806445,C289566
active,U700516,C963278
active,U877257,C126767
deleted,U297015,C696253
active,U966556,C165687
deleted,U387250,C424294
active,U652606,C300581
active,U531649,C126767
active,U192467,C069987
active,U346561,C300581
active,U387250,C165687
deleted,U812256,C069987
deleted,U266829,C628944
deleted,U511908,C126767
active,U917218,C967824
active,U700672,C628944
active,U297015,C035962
active,U215381,C921807
active,U812256,C732380
active,U966556,C165687
active,U824115,C300581
active,U812256,C165687
active,U443006,C126767
deleted,U652606,C032306
active,U872282,C165687
deleted,U806445,C069987
active,U700516,C628944
deleted,U346561,C696253
deleted,U292615,C696253
active,U266829,C424294
active,U652606,C222487
active,U511908,C032306
active,U917218,C424294
active,U652606,C696253
active,U139455,C732380
active,U346561,C494738
active,U443006,C696253
active,U192467,C035962
active,U346561,C165687
active,U139455,C439738
active,U139455,C300581
deleted,U824115,C732380
deleted,U938803,C439738
active,U144991,C032306
deleted,U144991,C967824
active,U180698,C035962
active,U476616,C035962
active,U387250,C069987
deleted,U812256,C696253
deleted,U977454,C732380
active,U617555,C035962
active,U192467,C628944
active,U511908,C967824
active,U977454,C424294
active,U346561,C628944
deleted,U979173,C300581
deleted,U917218,C696253
deleted,U292615,C035962
active,U443006,C126767
active,U144991,C035962
active,U917218,C032306
deleted,U979173,C035962
