user_id,state,course_id
U443006,active,C035962
U966556,active,C069987
U511908,active,C032306
U387250,active,C628944
U346561,active,C300581
U700672,active,C424294
U180698,active,C696253
U560122,active,C126767
U652606,active,C696253
U144991,active,C628944
U652606,active,C300581
U139455,active,C300581
U824115,deleted,C732380
U977454,active,C424294
U511908,deleted,C126767
U401211,active,C035962
U346561,active,C628944
U700516,active,C628944
U443006,active,C126767
U297015,deleted,C696253
U812256,deleted,C069987
U215381,active,C921807
U966556,active,C165687
U819537,active,C126767
U192467,active,C732380
U917218,active,C032306
U266829,active,C424294
U192467,active,C035962
U387250,active,C300581
U297015,active,C035962
U977454,deleted,C732380
U387250,active,C069987
U139455,active,C439738
U511908,active,C967824
U443006,active,C126767
U531649,active,C126767
U139455,deleted,C921807
U917218,active,C628944
U346561,deleted,C696253
U917218,deleted,C696253
U144991,active,C032306
U917218,active,C967824
U144991,active,C628944
U443006,active,C696253
U511908,active,C069987
U812256,active,C732380
U192467,active,C069987
U139455,active,C732380
U824115,active,C300581
U812256,active,C165687
U292615,deleted,C035962
U812256,deleted,C696253
U387250,active,C165687
U387250,deleted,C424294
U346561,active,C165687
U494988,active,C212550
U938803,deleted,C439738
U652606,deleted,C032306
U966556,active,C696253
U180698,active,C035962
U144991,active,C035962
U144991,deleted,C967824
U966556,active,C165687
U476616,active,C035962
U266829,deleted,C628944
U806445,active,C289566
U346561,active,C494738
U700672,active,C628944
U292615,deleted,C696253
U507687,deleted,C732380
U872282,active,C165687
U917218,active,C424294
U806445,deleted,C069987
U192467,active,C628944
U700516,active,C963278
U979173,deleted,C300581
U652606,deleted,C424294
