user_id,state,course_id
U144991,deleted,C035962
U297015,active,C696253
U144991,active,C628944
U979173,active,C300581
U872282,active,C165687
U346561,active,C300581
U401211,active,C035962
U215381,active,C921807
U917218,deleted,C424294
U180698,active,C696253
U180698,active,C035962
U346561,active,C696253
U387250,active,C300581
U266829,deleted,C628944
U812256,active,C732380
U917218,active,C967824
U387250,active,C165687
U511908,active,C967824
U652606,active,C300581
U297015,active,C035962
U824115,active,C300581
U139455,active,C732380
U652606,active,C032306
U531649,active,C126767
U511908,deleted,C032306
U977454,active,C732380
U966556,deleted,C165687
U266829,active,C424294
U652606,active,C696253
U966556,active,C165687
U292615,deleted,C780004
U144991,active,C032306
U346561,active,C165687
U917218,active,C628944
U824115,active,C732380
U292615,active,C035962
U917218,active,C696253
U144991,deleted,C967824
U387250,active,C069987
U700672,active,C424294
U652606,deleted,C424294
U346561,active,C628944
U806445,active,C069987
U139455,active,C300581
U192467,active,C732380
U700516,deleted,C628944
U812256,active,C696253
U192467,active,C628944
U812256,active,C165687
U443006,deleted,C126767
U966556,active,C069987
U387250,active,C424294
U476616,deleted,C035962
U387250,active,C628944
U511908,active,C126767
U917218,active,C032306
U966556,active,C696253
U977454,active,C424294
U544305,active,C494738
U192467,active,C069987
U292615,active,C696253
U443006,active,C696253
U144991,active,C628944
U511908,active,C069987
