course_name,course_id,state
Investing,C145137,active
Canoeing,C165687,active
French language,C035962,active
Botany,C963278,active
Diseases,C289566,active
Judiciary,C032306,active
Holidays,C069987,deleted
Feelings,C126767,deleted
Astronautics,C300581,active
Substance abuse,C696253,active
Suicide,C628944,active
Air warfare,C494738,active
Satire,C663390,deleted
Mathematics,C921807,active
Depression glass,C439738,active
Patents,C424294,active
"Abortion, law",C732380,active
Kitchen remodeling,C222487,active
Weather forecasting,C212550,active
Budgeting,C967824,active
