course_name,course_id,state
Astronautics,C300581,active
Patents,C424294,active
Canoeing,C165687,active
Substance abuse,C696253,deleted
Budgeting,C967824,deleted
Suicide,C628944,active
French language,C035962,active
Botany,C963278,active
Kitchen remodeling,C222487,active
Weather forecasting,C212550,active
Judiciary,C032306,active
Investing,C145137,active
Mathematics,C921807,active
Feelings,C126767,deleted
Diseases,C289566,active
Depression glass,C439738,active
"Abortion, law",C732380,active
Air warfare,C494738,active
Holidays,C069987,deleted
